id,nodecolor
1,4
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
10,4
11,17
12,17
13,17
14,4
15,17
16,17
17,17
18,17
19,17
20,17
21,17
22,4
23,17
24,17
25,17
26,4
27,4
28,17
29,17
30,17
31,17
32,4
33,17
34,17
35,17
36,17
37,17
38,17
39,17
40,17
41,4
42,17
43,17
44,17
45,17
46,17
47,17
48,17
49,17
50,17
51,17
52,17
53,17
54,17
55,17
56,4
57,4
58,17
59,17
60,4
61,17
62,17
63,4
64,17
65,17
66,17
67,4
68,4
69,17
70,17
71,17
72,17
73,4
74,17
75,17
76,17
77,17
78,17
79,17
80,17
81,17
82,17
83,4
84,17
85,17
86,17
87,17
88,17
89,17
90,17
91,17
92,17
93,17
94,17
95,17
96,17
97,17
98,17
99,4
100,17
101,17
102,17
103,17
104,17
105,4
106,17
107,17
108,6
109,17
110,4
111,17
112,17
113,17
114,4
115,17
116,17
117,17
118,17
119,4
120,4
121,17
122,17
123,4
124,4
125,17
126,17
127,17
128,17
129,4
130,17
131,17
132,17
133,17
134,17
135,4
136,17
137,8
138,17
139,17
140,17
141,17
142,4
143,4
144,17
145,17
146,17
147,17
148,17
149,17
150,17
151,17
152,17
153,17
154,17
155,17
156,17
157,17
158,17
159,4
160,17
161,17
162,4
163,17
164,17
165,17
166,17
167,17
168,17
169,17
170,4
171,4
172,17
173,4
174,17
175,17
176,17
177,17
178,17
179,17
180,17
181,17
182,17
183,17
184,17
185,17
186,4
187,4
188,17
189,4
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,17
198,17
199,17
200,4
201,4
202,17
203,17
204,4
205,17
206,17
207,17
208,17
209,17
210,17
211,17
212,4
213,4
214,4
215,17
216,17
217,17
218,17
219,17
220,17
221,17
222,17
223,17
224,4
225,4
226,17
227,17
228,17
229,17
230,17
231,17
232,17
233,4
234,17
235,17
236,17
237,4
238,17
239,4
240,4
241,17
242,17
243,17
244,17
245,17
246,17
247,17
248,17
249,4
250,17
251,17
252,17
253,4
254,17
255,17
256,17
257,17
258,17
259,17
260,17
261,17
262,4
263,17
264,17
265,17
266,4
267,17
268,17
269,17
270,17
271,17
272,4
273,4
274,17
275,17
276,17
277,4
278,4
279,17
280,17
281,4
282,17
283,17
284,17
285,17
286,4
287,17
288,17
289,17
290,17
291,17
292,4
293,17
294,17
295,17
296,17
297,17
298,4
299,17
300,17
301,17
302,17
303,17
304,4
305,4
306,17
307,17
308,17
309,4
310,17
311,17
312,17
313,17
314,4
315,17
316,4
317,17
318,17
319,17
320,17
321,17
322,17
323,4
324,4
325,4
326,4
327,17
328,17
329,17
330,17
331,17
332,4
333,4
334,17
335,4
336,17
337,17
338,17
339,17
340,17
341,17
342,17
343,4
344,17
345,17
346,17
347,17
348,17
349,18
350,17
351,17
352,17
353,17
354,18
355,17
356,18
357,17
358,17
359,17
360,17
361,18
362,17
363,17
364,18
365,17
366,17
367,18
368,17
369,18
370,17
371,18
372,17
373,17
374,18
375,18
376,17
377,18
378,17
379,18
380,17
381,17
382,17
383,17
384,17
385,17
386,17
387,17
388,18
389,18
390,6
391,17
392,18
393,18
394,17
395,18
396,18
397,17
398,18
399,18
400,17
401,18
402,17
403,18
404,17
405,18
406,17
407,17
408,17
409,18
410,18
411,17
412,17
413,18
414,17
415,18
416,17
417,17
418,18
419,17
420,18
421,18
422,17
423,18
424,18
425,17
426,17
427,17
428,17
429,18
430,17
431,18
432,18
433,18
434,17
435,18
436,17
437,18
438,17
439,18
440,18
441,17
442,17
443,17
444,17
445,18
446,17
447,17
448,17
449,17
450,17
451,17
452,18
453,18
454,17
455,17
456,17
457,18
458,17
459,17
460,17
461,18
462,18
463,17
464,18
465,17
466,18
467,17
468,17
469,17
470,17
471,17
472,18
473,17
474,18
475,17
476,18
477,17
478,17
479,17
480,18
481,17
482,17
483,18
484,2
485,18
486,17
487,17
488,18
489,18
490,17
491,17
492,17
493,18
494,18
495,17
496,17
497,18
498,18
499,17
500,17
501,18
502,17
503,17
504,18
505,18
506,17
507,18
508,18
509,17
510,17
511,17
512,18
513,18
514,18
515,18
516,18
517,17
518,18
519,17
520,17
521,18
522,17
523,17
524,18
525,18
526,18
527,18
528,18
529,17
530,17
531,17
532,17
533,17
534,17
535,17
536,17
537,17
538,18
539,18
540,17
541,17
542,17
543,18
544,17
545,18
546,18
547,17
548,17
549,18
550,17
551,17
552,17
553,17
554,18
555,17
556,18
557,18
558,18
559,17
560,18
561,18
562,18
563,17
564,18
565,17
566,17
567,18
568,18
569,17
570,17
571,18
572,17
573,17
574,17
575,17
576,17
577,17
578,17
579,17
580,17
581,17
582,17
583,17
584,17
585,17
586,17
587,17
588,17
589,17
590,17
591,17
592,18
593,17
594,17
595,17
596,17
597,17
598,17
599,17
600,17
601,17
602,17
603,17
604,17
605,18
606,17
607,17
608,17
609,17
610,17
611,17
612,17
613,17
614,17
615,18
616,17
617,17
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
632,17
633,17
634,17
635,17
636,17
637,17
638,17
639,17
640,17
641,17
642,17
643,17
644,17
645,17
646,18
647,17
648,17
649,17
650,17
651,17
652,17
653,17
654,17
655,17
656,17
657,17
658,17
659,17
660,17
661,17
662,17
663,17
664,17
665,17
666,17
667,17
668,17
669,17
670,18
671,17
672,17
673,17
674,17
675,17
676,17
677,17
678,17
679,17
680,17
681,17
682,17
683,17
684,18
685,17
686,17
687,9
688,9
689,9
690,17
691,17
692,17
693,17
694,17
695,9
696,9
697,9
698,9
699,9
700,17
701,17
702,9
703,17
704,9
705,17
706,9
707,9
708,17
709,9
710,9
711,17
712,9
713,17
714,9
715,17
716,17
717,17
718,17
719,9
720,9
721,17
722,17
723,17
724,17
725,9
726,17
727,9
728,9
729,9
730,17
731,17
732,9
733,17
734,17
735,9
736,17
737,17
738,9
739,9
740,9
741,17
742,17
743,17
744,17
745,17
746,9
747,17
748,9
749,17
750,17
751,17
752,17
753,9
754,17
755,9
756,17
757,17
758,17
759,17
760,17
761,9
762,17
763,17
764,17
765,9
766,17
767,9
768,17
769,17
770,17
771,9
772,17
773,9
774,9
775,9
776,17
777,17
778,9
779,9
780,17
781,9
782,9
783,17
784,17
785,9
786,17
787,17
788,9
789,17
790,17
791,17
792,17
793,9
794,17
795,17
796,17
797,17
798,9
799,17
800,17
801,9
802,17
803,17
804,17
805,17
806,9
807,17
808,9
809,17
810,17
811,9
812,17
813,17
814,17
815,9
816,9
817,17
818,9
819,17
820,9
821,9
822,17
823,17
824,9
825,9
826,17
827,17
828,9
829,9
830,9
831,9
832,17
833,17
834,17
835,9
836,9
837,17
838,17
839,9
840,17
841,9
842,17
843,9
844,17
845,9
846,9
847,17
848,9
849,9
850,9
851,17
852,17
853,17
854,9
855,17
856,17
857,9
858,17
859,17
860,17
861,17
862,17
863,3
864,17
865,17
866,17
867,17
868,17
869,17
870,17
871,17
872,17
873,17
874,17
875,17
876,17
877,17
878,17
879,17
880,17
881,17
882,17
883,17
884,17
885,17
886,17
887,17
888,17
889,17
890,17
891,17
892,17
893,17
894,17
895,17
896,17
897,5
898,10
899,2
900,17
901,17
902,17
903,5
904,17
905,17
906,17
907,11
908,17
909,17
910,17
911,17
912,17
913,17
914,17
915,17
916,17
917,15
918,2
919,17
920,2
921,17
922,10
923,17
924,17
925,6
926,11
927,17
928,10
929,17
930,17
931,17
932,17
933,10
934,17
935,11
936,17
937,17
938,17
939,17
940,17
941,17
942,2
943,2
944,17
945,6
946,17
947,11
948,11
949,17
950,6
951,17
952,17
953,11
954,10
955,2
956,17
957,17
958,5
959,17
960,15
961,15
962,17
963,17
964,17
965,6
966,6
967,15
968,10
969,17
970,2
